Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Energy_Category,Aspect_Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category
l33d5un1t3d,@l33d5un1t3d1,,1,1,,16,https://x.com/l33d5un1t3d1/status/1676167101013262336,https://x.com/l33d5un1t3d1,"""Australia holds the world’s largest uranium reserves and, despite its shifting policy of limiting the number of mines and states that have banned them, is the world’s third-largest uranium exporter. Happy to export it, but too dim to use it ourselves""","Jul 4, 2023",2023-07-04T09:52:33.000Z,"""Australia holds the world’s largest uranium reserves and, despite its shifting policy of limiting the number of mines and states that have banned them, is the world’s third-largest uranium exporter. Happy to export it, but too dim to use it ourselves""",Other,Policy,australia hold world largest uranium reserve despite shifting policy limiting number mine state banned world thirdlargest uranium exporter happy export dim use,1.0,0.45,3.9,Neutral,2,Negative,Negative
Phil,@TajBragg,"https://pbs.twimg.com/media/FYn6y3zaUAAZocv?format=jpg&name=small, https://pbs.twimg.com/media/FYn6y3zaUAAZocv?format=jpg&name=small",,1,,,https://x.com/TajBragg/status/1552106478273564672,https://x.com/TajBragg,"So, how the hell Albanese, do you achieve a 43% renewable energy target by 2030? You have no Nuclear in the mix. You will be asking the taxpayers of Australia to fund this non achievable target. I have no doubt this will cost you the Prime Ministership & Government.","Jul 27, 2022",2022-07-27T01:39:55.000Z,"So, how the hell Albanese, do you achieve a 43% renewable energy target by 2030? You have no Nuclear in the mix. You will be asking the taxpayers of Australia to fund this non achievable target. I have no doubt this will cost you the Prime Ministership & Government.",Nuclear Energy,Policy,hell albanese achieve renewable energy target nuclear mix asking taxpayer australia fund non achievable target doubt cost prime ministership government,1.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
David McDonald  x7 dmcd2324.bsky.social,@DMcD_Advocate,,1,1,,35,https://x.com/DMcD_Advocate/status/1778341813809799334,https://x.com/DMcD_Advocate,"Exec Summary
- Australia announces new subsidy policy for renewable energy manufacturing.
- The policy aims to bolster local production of renewable energy equipment.
- It includes subsidies for manufacturing facilities producing solar panels, wind turbines, and batteries.
- The",Apr 11,2024-04-11T08:38:23.000Z,"Exec Summary
- Australia announces new subsidy policy for renewable energy manufacturing.
- The policy aims to bolster local production of renewable energy equipment.
- It includes subsidies for manufacturing facilities producing solar panels, wind turbines, and batteries.
- The",Solar Energy,Policy,exec summary australia announces new subsidy policy renewable energy manufacturing policy aim bolster local production renewable energy equipment includes subsidy manufacturing facility producing solar panel wind turbine battery,1.0,0.06818181818181818,3.14,Neutral,4,Positive,Positive
alan moran,@alan_john_moran,,3,11,1.0,,https://x.com/alan_john_moran/status/1311066751711371265,https://x.com/alan_john_moran,AFR shamelessly maintains its role as the dupe of the renewables subsidy seekers that keep it financially solvent.  It reports Australia cd share in 5 million new renewable energy jobs when its subsidies cost $13 billion a year and destroy low cost energy https://afr.com/companies/energy/renewables-offer-post-pandemic-jobs-boom-20200929-p56067…,"Sep 30, 2020",2020-09-29T22:14:06.000Z,AFR shamelessly maintains its role as the dupe of the renewables subsidy seekers that keep it financially solvent.  It reports Australia cd share in 5 million new renewable energy jobs when its subsidies cost $13 billion a year and destroy low cost energy https://afr.com/companies/energy/renewables-offer-post-pandemic-jobs-boom-20200929-p56067…,Other,Tax,afr shamelessly maintains role dupe renewables subsidy seeker keep financially solvent report australia cd share million new renewable energy job subsidy cost billion year destroy low cost energy httpsafrcomcompaniesenergyrenewablesofferpostpandemicjobsboomp,11.0,-0.015909090909090914,2.97,Negative,1,Very Negative,Very Negative
Alex Wodak AM,@AlexWodak,,5,5,,,https://x.com/AlexWodak/status/1270860420119588864,https://x.com/AlexWodak,"If you want Australia’s fossil fuel subsidy, $29 billion/year, to be 10 (ten) times greater than renewable energy subsidy ($2.8 billion/year) you know who to vote for. Budget repair?","Jun 11, 2020",2020-06-10T23:28:30.000Z,"If you want Australia’s fossil fuel subsidy, $29 billion/year, to be 10 (ten) times greater than renewable energy subsidy ($2.8 billion/year) you know who to vote for. Budget repair?",Other,Tax,want australia fossil fuel subsidy billionyear ten time greater renewable energy subsidy billionyear know vote budget repair,5.0,0.25,3.5,Neutral,1,Very Negative,Very Negative
Mark Brogan,@brgn_mp,,25,62,,,https://x.com/brgn_mp/status/1493880246042447873,https://x.com/brgn_mp,"Dr Helen Haines, Independent MP for Indi in Victoria has introduced a bill to parliament that seeks to include home battery systems in Australia's existing renewable energy subsidy schemes.  #renewables https://x.com/AusSolarNews/s/AusSolarNews/status/1493834782568071170…","Feb 16, 2022",2022-02-16T09:29:40.000Z,"Dr Helen Haines, Independent MP for Indi in Victoria has introduced a bill to parliament that seeks to include home battery systems in Australia's existing renewable energy subsidy schemes.  #renewables https://x.com/AusSolarNews/s/AusSolarNews/status/1493834782568071170…",Other,Tax,dr helen haines independent mp indi victoria introduced bill parliament seek include home battery system australia existing renewable energy subsidy scheme renewables httpsxcomaussolarnewssaussolarnewsstatus,62.0,0.0,3.0,Neutral,4,Positive,Positive
Clean Energy Finance,@CleanEnergyFC,,4,4,,,https://x.com/CleanEnergyFC/status/1442818122642247684,https://x.com/CleanEnergyFC,"Australia's Energy Security Board proposed a controversial ‘coalkeeper subsidy.’ According to #cleanenergy advocates, these payments could cost consumers up to $6.9 billion a year, and undermine future #CleanEnergy investments.","Sep 28, 2021",2021-09-28T11:47:01.000Z,"Australia's Energy Security Board proposed a controversial ‘coalkeeper subsidy.’ According to #cleanenergy advocates, these payments could cost consumers up to $6.9 billion a year, and undermine future #CleanEnergy investments.",Other,Tax,australia energy security board proposed controversial coalkeeper subsidy according cleanenergy advocate payment could cost consumer billion year undermine future cleanenergy investment,4.0,0.275,3.55,Neutral,1,Very Negative,Very Negative
Renewables4U,@Renewables_4U,"https://pbs.twimg.com/media/F4BPvBCbYAAAqhE?format=png&name=small, https://pbs.twimg.com/media/F4BPvBCbYAAAqhE?format=png&name=small",,2,,134,https://x.com/Renewables_4U/status/1693442860279079227,https://x.com/Renewables_4U,"Large-Scale #RenewableEnergy Target market data in Australia.

The Large-scale Renewable Energy Target creates a financial incentive for the installation of renewable energy power stations. The target is designed to reduce emissions in the electricity sector and encourage","Aug 21, 2023",2023-08-21T02:00:15.000Z,,Other,Other,,2.0,0.0,,Very Positive,4,Positive,Positive
BusinessToday Malaysia,@BusinessTodayM1,,,,,35,https://x.com/BusinessTodayM1/status/1637309112953479169,https://x.com/BusinessTodayM1,Australia has successfully transitioned to renewable energy driven mostly by the private sector. Why? Because no subsidy!,"Mar 19, 2023",2023-03-19T04:24:46.000Z,Australia has successfully transitioned to renewable energy driven mostly by the private sector. Why? Because no subsidy!,Other,Tax,australia successfully transitioned renewable energy driven mostly private sector subsidy,,0.4166666666666667,3.83,Neutral,5,Very Positive,Very Positive
Rewiring Australia,@RewiringAus,,50,122,5.0,5.4K,https://x.com/RewiringAus/status/1653262572676878337,https://x.com/RewiringAus,"“Swapping out fossil fuelled devices and energy sources for renewable-backed electrification is the fastest, most cost effective way to decarbonise our domestic economy.""","May 2, 2023",2023-05-02T04:58:08.000Z,"“Swapping out fossil fuelled devices and energy sources for renewable-backed electrification is the fastest, most cost effective way to decarbonise our domestic economy.""",Other,Economy,swapping fossil fuelled device energy source renewablebacked electrification fastest cost effective way decarbonise domestic economy,122.0,0.3666666666666667,3.73,Neutral,5,Very Positive,Very Positive
Australian Solar and Renewable Energy News,@AusSolarNews,,,1,,26,https://x.com/AusSolarNews/status/1800629444253549004,https://x.com/AusSolarNews,Another Push For “National” Home Battery Subsidy In Australia https://solarquotes.com.au/blog/home-battery-saver-mb2940/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #EnergyTransition #SolarTransition,Jun 12,2024-06-11T20:41:28.000Z,,Other,Other,,1.0,0.0,,Very Positive,4,Positive,Positive
This earth is tired. So am I.,@fladdle,,,,,,https://x.com/fladdle/status/1540943455928471553,https://x.com/fladdle,“This…means that the more than 3mill rooftop solar units…will be falsely recorded as adding more renewable energy than they are into [the] energy grid. This…equates to an ongoing green subsidy to Australia’s largest electricity consuming corporations.” https://michaelwest.com.au/revealed-australias-true-emissions-concealed-corporates-double-count-household-rooftop-solar/…,"Jun 26, 2022",2022-06-26T06:22:03.000Z,“This…means that the more than 3mill rooftop solar units…will be falsely recorded as adding more renewable energy than they are into [the] energy grid. This…equates to an ongoing green subsidy to Australia’s largest electricity consuming corporations.” https://michaelwest.com.au/revealed-australias-true-emissions-concealed-corporates-double-count-household-rooftop-solar/…,Other,Tax,thismeans mill rooftop solar unitswill falsely recorded adding renewable energy energy grid thisequates ongoing green subsidy australia largest electricity consuming corporation httpsmichaelwestcomaurevealedaustraliastrueemissionsconcealedcorporatesdoublecounthouseholdrooftopsolar,,0.09999999999999996,3.2,Neutral,1,Very Negative,Very Negative
AustralianPolitics,@NoSpinPolitics,,,,,,https://x.com/NoSpinPolitics/status/1305653376974110720,https://x.com/NoSpinPolitics,"Power (6): Australia will replace fossil fuel sources with renewables when they become affordable without subsidy, and more reliable.

Proponents of renewable energy fail to mention the subsidies that make renewables ""free"", and the ongoing maintenance and replacement costs.","Sep 15, 2020",2020-09-14T23:43:17.000Z,"Power (6): Australia will replace fossil fuel sources with renewables when they become affordable without subsidy, and more reliable.

Proponents of renewable energy fail to mention the subsidies that make renewables ""free"", and the ongoing maintenance and replacement costs.",Other,Tax,power australia replace fossil fuel source renewables become affordable without subsidy reliable proponent renewable energy fail mention subsidy make renewables free ongoing maintenance replacement cost,,0.13333333333333333,3.27,Neutral,4,Positive,Positive
Alan Tomalty,@ATomalty,,2,1,,,https://x.com/ATomalty/status/1135779362610077696,https://x.com/ATomalty,The high priest of the Church of Climatology is in Australia to preach the hoax of GW and the Australians are paying $320000 for the privilege. Mr Gore's companies have made a billion $ off of the renewable energy scam. Each wind turbine in Australia gets a subsidy of $700000/yr.,"Jun 4, 2019",2019-06-04T05:24:36.000Z,,Other,Other,,1.0,0.0,,Very Positive,4,Positive,Positive
Solar Energy Masters,@masters_solar,,,,,13,https://x.com/masters_solar/status/1654386568327581696,https://x.com/masters_solar,"RT cleannrgcouncil: RT @renew_economy: CEC and Acciona call for extension to federal Renewable Energy Target as Australia struggles to compete in the global clean energy race.
http://ow.ly/81h650OgwAr","May 5, 2023",2023-05-05T07:24:29.000Z,"RT cleannrgcouncil: RT @renew_economy: CEC and Acciona call for extension to federal Renewable Energy Target as Australia struggles to compete in the global clean energy race.
http://ow.ly/81h650OgwAr",Other,Other,rt cleannrgcouncil rt reneweconomy cec acciona call extension federal renewable energy target australia struggle compete global clean energy race httpowlyhogwar,,0.18333333333333335,3.37,Neutral,3,Neutral,Neutral
Oscar Archer,@OskaArcher,"https://pbs.twimg.com/media/ExYVRpmUYAAdwui?format=jpg&name=small, https://pbs.twimg.com/media/ExYVRpmUYAAdwui?format=jpg&name=small",1,2,1.0,,https://x.com/OskaArcher/status/1375310557926936577,https://x.com/OskaArcher,"In Australia, much renewable capacity was built based on the incentive of Large-scale Generating Certificates under the national Renewable Energy Target scheme. https://wattclarity.com.au/articles/2021/03/gsd2020-large-scale-solar-farm-revenue-in-2020-part-2-considering-lgcs/…","Mar 26, 2021",2021-03-26T04:56:03.000Z,"In Australia, much renewable capacity was built based on the incentive of Large-scale Generating Certificates under the national Renewable Energy Target scheme. https://wattclarity.com.au/articles/2021/03/gsd2020-large-scale-solar-farm-revenue-in-2020-part-2-considering-lgcs/…",Other,Tax,australia much renewable capacity built based incentive largescale generating certificate national renewable energy target scheme httpswattclaritycomauarticlesgsdlargescalesolarfarmrevenueinpartconsideringlgcs,2.0,0.2,3.4,Neutral,4,Positive,Positive
ACT Renewables Hub,@ACTRenewableHub,,,,,,https://x.com/ACTRenewableHub/status/1285744559935422464,https://x.com/ACTRenewableHub,"#NEWS #ELECTRICITY #CUSTOMERSERVICE #AUSTRALIA

Final Version is Ready! Australian Energy Regulator has published a Customer Service Incentive Scheme to create a stronger relationship between electricity distributors and their customers.  

http://ow.ly/OFO550AEFYG","Jul 22, 2020",2020-07-22T01:12:45.000Z,"#NEWS #ELECTRICITY #CUSTOMERSERVICE #AUSTRALIA

Final Version is Ready! Australian Energy Regulator has published a Customer Service Incentive Scheme to create a stronger relationship between electricity distributors and their customers.

http://ow.ly/OFO550AEFYG",Other,Tax,news electricity customerservice australia final version ready australian energy regulator published customer service incentive scheme create stronger relationship electricity distributor customer httpowlyofoaefyg,,0.08333333333333333,3.17,Neutral,5,Very Positive,Very Positive
Renew Economy,@renew_economy,,4,7,,1K,https://x.com/renew_economy/status/1654379245236285441,https://x.com/renew_economy,CEC and Acciona call for extension to federal Renewable Energy Target as Australia struggles to compete in the global clean energy race.,"May 5, 2023",2023-05-05T06:55:23.000Z,CEC and Acciona call for extension to federal Renewable Energy Target as Australia struggles to compete in the global clean energy race.,Other,Other,cec acciona call extension federal renewable energy target australia struggle compete global clean energy race,7.0,0.18333333333333335,3.37,Neutral,4,Positive,Positive
Malcolm Ellis,@43a6f0ce5dac4ea,,,,,,https://x.com/43a6f0ce5dac4ea/status/1264404819382427648,https://x.com/43a6f0ce5dac4ea,"Graft n Corruption
Renewable Energy Subsidy
Tax Payer Apathy...

the three enablers of the destruction of the remnants of Australia's Old Growth forest

""Albany wood pellet plant to re-open and become Australia's largest - ABC News"" https://amp.abc.net.au/article/8333208","May 24, 2020",2020-05-24T03:56:15.000Z,"Graft n Corruption
Renewable Energy Subsidy
Tax Payer Apathy...

the three enablers of the destruction of the remnants of Australia's Old Growth forest

""Albany wood pellet plant to re-open and become Australia's largest - ABC News"" https://amp.abc.net.au/article/8333208",Other,Economy,graft n corruption renewable energy subsidy tax payer apathy three enablers destruction remnant australia old growth forest albany wood pellet plant reopen become australia largest abc news httpsampabcnetauarticle,,0.1,3.2,Neutral,1,Very Negative,Very Negative
simon holmes à court,@simonahac,,74,189,8.0,,https://x.com/simonahac/status/1073360269856796672,https://x.com/simonahac,"australia’s renewable energy target has been highly successful.

back in 2001, when howard legislated #RET, projects needed $60+/MWh subsidy to get off the ground.

• most new big projects receive $0 subsidy
• 30Mt CO₂ saving a year, growing
• 24k jobs — regionally skewed.","Dec 14, 2018",2018-12-13T23:33:25.000Z,"australia’s renewable energy target has been highly successful.

back in 2001, when howard legislated #RET, projects needed $60+/MWh subsidy to get off the ground.

• most new big projects receive $0 subsidy
• 30Mt CO₂ saving a year, growing
• 24k jobs — regionally skewed.",Other,Tax,australia renewable energy target highly successful back howard legislated ret project needed mwh subsidy get ground new big project receive subsidy mt co saving year growing k job regionally skewed,189.0,0.2772727272727272,3.55,Neutral,5,Very Positive,Very Positive
pv magazine Australia,@pvmagazineoz,https://pbs.twimg.com/media/GK23psfaEAA2PKA?format=jpg&name=small,,,,197,https://x.com/pvmagazineoz/status/1778279356571508818,https://x.com/pvmagazineoz,"Australia joins global clean energy race with new subsidy policy: The federal government has unveiled plans for a Future Made in Australia Act, proposing taxpayer-funded incentives to advance renewable energy industries,… http://dlvr.it/T5Lqjz #renewables #solar #technology",Apr 11,2024-04-11T04:30:12.000Z,"Australia joins global clean energy race with new subsidy policy: The federal government has unveiled plans for a Future Made in Australia Act, proposing taxpayer-funded incentives to advance renewable energy industries,… http://dlvr.it/T5Lqjz #renewables #solar #technology",Other,Policy,australia join global clean energy race new subsidy policy federal government unveiled plan future made australia act proposing taxpayerfunded incentive advance renewable energy industry httpdlvrittlqjz renewables solar technology,,0.12575757575757576,3.25,Neutral,4,Positive,Positive
Nick Aberle,@NickAberle,,1,3,1.0,410,https://x.com/NickAberle/status/1622790691020771329,https://x.com/NickAberle,"The scale of investment and subsidy under the US Inflation Reduction Act will suck essential skills, materials and dollars away from Australia's energy transition (and thus our future competitiveness) unless we can match it.","Feb 7, 2023",2023-02-07T02:53:45.000Z,"The scale of investment and subsidy under the US Inflation Reduction Act will suck essential skills, materials and dollars away from Australia's energy transition (and thus our future competitiveness) unless we can match it.",Other,Tax,scale investment subsidy u inflation reduction act suck essential skill material dollar away australia energy transition thus future competitiveness unless match,3.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
Energy Matters,@energymattersau,"https://pbs.twimg.com/media/DmslwrQVAAA1ozd?format=jpg&name=240x240, https://pbs.twimg.com/media/DmslwrQVAAA1ozd?format=jpg&name=240x240",,,,,https://x.com/energymattersau/status/1038965658833145858,https://x.com/energymattersau,"South Australia Home Battery Scheme - up to $6,000 subsidy on battery costs - https://energymatters.com.au/renewable-news/home-battery-subsidies-boost-sa-storage/…","Sep 10, 2018",2018-09-10T01:41:30.000Z,"South Australia Home Battery Scheme - up to $6,000 subsidy on battery costs - https://energymatters.com.au/renewable-news/home-battery-subsidies-boost-sa-storage/…",Other,Tax,south australia home battery scheme subsidy battery cost httpsenergymatterscomaurenewablenewshomebatterysubsidiesboostsastorage,,0.0,3.0,Neutral,5,Very Positive,Very Positive
Energy Matters,@energymattersau,"https://pbs.twimg.com/media/DqvGPMEUwAAIv_2?format=jpg&name=240x240, https://pbs.twimg.com/media/DqvGPMEUwAAIv_2?format=jpg&name=240x240",,,,,https://x.com/energymattersau/status/1057156502908100609,https://x.com/energymattersau,"South Australia Home Battery Scheme - up to $6,000 subsidy on battery costs - https://energymatters.com.au/renewable-news/home-battery-subsidies-boost-sa-storage/…","Oct 30, 2018",2018-10-30T06:25:25.000Z,"South Australia Home Battery Scheme - up to $6,000 subsidy on battery costs - https://energymatters.com.au/renewable-news/home-battery-subsidies-boost-sa-storage/…",Other,Tax,south australia home battery scheme subsidy battery cost httpsenergymatterscomaurenewablenewshomebatterysubsidiesboostsastorage,,0.0,3.0,Neutral,5,Very Positive,Very Positive
Robert Maxwell,@RobMax4,,,,,,https://x.com/RobMax4/status/1108254541898670080,https://x.com/RobMax4,"While climate sceptics like to call the renewable energy target (RET) a subsidy, it is not. It’s a pollution control measure” https://gu.com/p/b339p/stw","Mar 20, 2019",2019-03-20T06:30:47.000Z,"While climate sceptics like to call the renewable energy target (RET) a subsidy, it is not. It’s a pollution control measure” https://gu.com/p/b339p/stw",Other,Tax,climate sceptic like call renewable energy target ret subsidy pollution control measure httpsgucompbpstw,,0.0,3.0,Neutral,1,Very Negative,Very Negative
Friends of the Earth,@FoEAustralia,,3,5,,,https://x.com/FoEAustralia/status/1441227733187526665,https://x.com/FoEAustralia,It's good to see states & territories push back on Angus Taylor's plan to prop up coal/gas-burning power plants. When will the Morrison govt get on board with 100% renewable energy? http://abc.net.au/news/2021-09-24/federal-coal-gas-power-subsidy-revolt-electricty-market/100487526… #AusClimateSolutions #Auspol,"Sep 24, 2021",2021-09-24T02:27:22.000Z,It's good to see states & territories push back on Angus Taylor's plan to prop up coal/gas-burning power plants. When will the Morrison govt get on board with 100% renewable energy? http://abc.net.au/news/2021-09-24/federal-coal-gas-power-subsidy-revolt-electricty-market/100487526… #AusClimateSolutions #Auspol,Other,Economy,good see state territory push back angus taylor plan prop coalgasburning power plant morrison govt get board renewable energy httpabcnetaunewsfederalcoalgaspowersubsidyrevoltelectrictymarket ausclimatesolutions auspol,5.0,0.35,3.7,Neutral,3,Neutral,Neutral
Mark Z. Jacobson,@mzjacobson,,147,157,9.0,,https://x.com/mzjacobson/status/1216594161970774016,https://x.com/mzjacobson,"Global fossil subsidies of $5.2 tril/y

https://reneweconomy.com.au/global-fossil-fuel-subsidies-reach-5-2-trillion-and-29-billion-in-australia-91592/…

can pay the $73 tril cost of transitioning all world's energy to 100% clean, renewable #WWS in 14 y. The $11 tril/y energy cost savings of a transition+subsidy savings pays it back in 4.5 y

http://web.stanford.edu/group/efmh/jacobson/Articles/I/143WWSCountries.pdf…","Jan 13, 2020",2020-01-13T05:33:46.000Z,"Global fossil subsidies of $5.2 tril/y

https://reneweconomy.com.au/global-fossil-fuel-subsidies-reach-5-2-trillion-and-29-billion-in-australia-91592/…

can pay the $73 tril cost of transitioning all world's energy to 100% clean, renewable #WWS in 14 y. The $11 tril/y energy cost savings of a transition+subsidy savings pays it back in 4.5 y

http://web.stanford.edu/group/efmh/jacobson/Articles/I/143WWSCountries.pdf…",Other,Tax,global fossil subsidy trily httpsreneweconomycomauglobalfossilfuelsubsidiesreachtrillionandbillioninaustralia pay tril cost transitioning world energy clean renewable wws trily energy cost saving transitionsubsidy saving pay back httpwebstanfordedugroupefmhjacobsonarticlesiwwscountriespdf,157.0,0.12222222222222223,3.24,Neutral,1,Very Negative,Very Negative
7NEWS Central Queensland,@7NewsCQ,https://pbs.twimg.com/amplify_video_thumb/1792462123895046144/img/3wyZKbvIMKhbM4vS.jpg,1,1,,180,https://x.com/7NewsCQ/status/1792466036857381044,https://x.com/7NewsCQ,Federal Treasurer Jim Chalmers has unveiled a $13 billion production tax incentive in Gladstone for nationwide renewable energy and critical minerals. It's part of the government's 'Future Made in Australia' package. http://7NEWS.com.au @CPenny_6 #7NEWS,May 20,2024-05-20T08:03:00.000Z,Federal Treasurer Jim Chalmers has unveiled a $13 billion production tax incentive in Gladstone for nationwide renewable energy and critical minerals. It's part of the government's 'Future Made in Australia' package. http://7NEWS.com.au @CPenny_6 #7NEWS,Other,Policy,federal treasurer jim chalmers unveiled billion production tax incentive gladstone nationwide renewable energy critical mineral part government future made australia package httpnewscomau cpenny news,1.0,0.0,3.0,Neutral,5,Very Positive,Very Positive
pv magazine,@pvmagazine,https://pbs.twimg.com/media/GK3h-fKaMAA5cT-?format=jpg&name=small,,2,,833,https://x.com/pvmagazine/status/1778325892970021285,https://x.com/pvmagazine,"Australia announces new subsidy policy for renewable energy manufacturing: The Australian federal government has unveiled plans for a Future Made in Australia Act, proposing taxpayer-funded incentives to… http://dlvr.it/T5M54t #Markets #ModulesUpstreamManufacturing #Batteries",Apr 11,2024-04-11T07:35:07.000Z,"Australia announces new subsidy policy for renewable energy manufacturing: The Australian federal government has unveiled plans for a Future Made in Australia Act, proposing taxpayer-funded incentives to… http://dlvr.it/T5M54t #Markets #ModulesUpstreamManufacturing #Batteries",Other,Policy,australia announces new subsidy policy renewable energy manufacturing australian federal government unveiled plan future made australia act proposing taxpayerfunded incentive httpdlvrittmt market modulesupstreammanufacturing battery,2.0,0.04545454545454545,3.09,Neutral,1,Very Negative,Very Negative
marcelina,@Thorium_232,,1,2,,,https://x.com/Thorium_232/status/1032203833995223040,https://x.com/Thorium_232,"When actually you get serious about #Climate Action and RELIABLE Affordable ULTRA Low CO2 electricity 24/7, You have tp get serious about #Nuclear Energy from #Thorium and #Uranium in Australia https://youtube.com/watch?v=v1f4BKsFrCA… Say NO to #Renewable Subsidy Farming","Aug 22, 2018",2018-08-22T09:52:26.000Z,"When actually you get serious about #Climate Action and RELIABLE Affordable ULTRA Low CO2 electricity 24/7, You have tp get serious about #Nuclear Energy from #Thorium and #Uranium in Australia https://youtube.com/watch?v=v1f4BKsFrCA… Say NO to #Renewable Subsidy Farming",Nuclear Energy,Tax,actually get serious climate action reliable affordable ultra low co electricity tp get serious nuclear energy thorium uranium australia httpsyoutubecomwatchvvfbksfrca say renewable subsidy farming,2.0,-0.11333333333333333,2.77,Negative,1,Very Negative,Very Negative
Solar Citizens,@solarcitizens,,30,18,4.0,,https://x.com/solarcitizens/status/1028853248218689536,https://x.com/solarcitizens,"The NEG’s measly #renewable target doesn’t provide any incentive for new generation to enter the market and boost competition. 

So who wins under the #NEG? Australia’s big three energy companies of course. #auspol 
https://smh.com.au/politics/federal/consumers-aren-t-the-big-winners-out-of-national-energy-guarantee-20180811-p4zwyv.html?csp=8cb7a4da8b4b5292fbd6e724fad4aa75…","Aug 13, 2018",2018-08-13T03:58:24.000Z,"The NEG’s measly #renewable target doesn’t provide any incentive for new generation to enter the market and boost competition.

So who wins under the #NEG? Australia’s big three energy companies of course. #auspol
https://smh.com.au/politics/federal/consumers-aren-t-the-big-winners-out-of-national-energy-guarantee-20180811-p4zwyv.html?csp=8cb7a4da8b4b5292fbd6e724fad4aa75…",Other,Economy,negs measly renewable target doesnt provide incentive new generation enter market boost competition win neg australia big three energy company course auspol httpssmhcomaupoliticsfederalconsumersarentthebigwinnersoutofnationalenergyguaranteepzwyvhtmlcspcbadabbfbdefadaa,18.0,-0.032575757575757605,2.93,Negative,2,Negative,Negative
Robert Maxwell,@RobMax4,,,,,,https://x.com/RobMax4/status/1108254389435666433,https://x.com/RobMax4,"“hile climate sceptics like to call the renewable energy target (RET) a subsidy, it is not. It’s a pollution control measure. When politicians insist that cars have mufflers to reduce noise pollution, and air bags to reduce deaths, no one calls such me…” https://gu.com/p/b339p/stw","Mar 20, 2019",2019-03-20T06:30:11.000Z,,Other,Other,,,0.0,,Very Positive,4,Positive,Positive
Lynie,@lynlinking,,4,4,,,https://x.com/lynlinking/status/1334969896036286464,https://x.com/lynlinking,"A subsidy a day keeps the farmer in play 
If Australia has an over-subsidised industry sector, it sure isn't the renewable energy that the mining lobby and the Coalition keep rattling on about. @madwixxy 
https://independentaustralia.net/politics/politics-display/a-subsidy-a-day-keeps-the-farmer-in-play,14588#.X8qmxgTQphA.twitter… @IndependentAus  cc @WgarNews","Dec 5, 2020",2020-12-04T21:16:40.000Z,"A subsidy a day keeps the farmer in play
If Australia has an over-subsidised industry sector, it sure isn't the renewable energy that the mining lobby and the Coalition keep rattling on about. @madwixxy
https://independentaustralia.net/politics/politics-display/a-subsidy-a-day-keeps-the-farmer-in-play,14588#.X8qmxgTQphA.twitter… @IndependentAus  cc @WgarNews",Other,Tax,subsidy day keep farmer play australia oversubsidised industry sector sure isnt renewable energy mining lobby coalition keep rattling madwixxy httpsindependentaustralianetpoliticspoliticsdisplayasubsidyadaykeepsthefarmerinplayxqmxgtqphatwitter independentaus cc wgarnews,4.0,0.5,4.0,Positive,1,Very Negative,Very Negative
Dermot O'Gorman,@DermotOz,,,,,,https://x.com/DermotOz/status/1169202827912085507,https://x.com/DermotOz,"“the industry will far exceed the target, the question should now turn to what comes next,The industry doesn’t need new subsidy, we just need certainty – renewable energy can continue to create opportunities with the right policies in place.” https://reneweconomy.com.au/tasmania-wind-farm-delivers-australia-renewables-target-but-whats-next-54074/…","Sep 4, 2019",2019-09-04T10:57:31.000Z,,Other,Other,,,0.0,,Very Positive,4,Positive,Positive
pete,@pete_artist,https://pbs.twimg.com/media/GU_Xv_8a4AIf5ml?format=jpg&name=small,1,1,1.0,48,https://x.com/pete_artist/status/1823915647405015043,https://x.com/pete_artist,"If renewable energy is so cheap why does one of the biggest companies in Australia - Rio Tinto - need the rest of us to subsidise it for high energy costs when it transitions to said ""cheap"" renewable energy?!???!

And why doesn't the public get to see the amount of the subsidy!",Aug 15,2024-08-15T02:52:31.000Z,"If renewable energy is so cheap why does one of the biggest companies in Australia - Rio Tinto - need the rest of us to subsidise it for high energy costs when it transitions to said ""cheap"" renewable energy?!???!

And why doesn't the public get to see the amount of the subsidy!",Other,Tax,renewable energy cheap one biggest company australia rio tinto need rest u subsidise high energy cost transition said cheap renewable energy doesnt public get see amount subsidy,1.0,0.29625,3.59,Neutral,1,Very Negative,Very Negative
Andrew Darroch,@AndrewDarroch1,,,,,,https://x.com/AndrewDarroch1/status/1449530554282438656,https://x.com/AndrewDarroch1,"""Tristan Edis of Green Energy Markets says one idea would be to add a subsidy for household batteries to the Small-scale Renewable Energy Scheme that subsidises rooftop solar. ....  If that happened, it would cut Australia’s overall emissions a lot."" @Bowenchris","Oct 17, 2021",2021-10-17T00:19:49.000Z,,Other,Other,,,0.0,,Very Positive,4,Positive,Positive
